24/08/2020	11	9.43333	0	0	0	0	0	0	0	7.78333	2.15	0	
25/08/2020	11	9.91667	0	0	0	0	0	0	0	7.8	2.61667	0	
26/08/2020	11	6.41667	0	0	0	0	0	0	0	6.91667	0	0	
27/08/2020	11	6.8	0	0	0	0	0	0	0	7.15	0.15	0	
28/08/2020	11	0	0	0	0	0	0	0	0	0	0	0	
29/08/2020	11	0	0	0	0	0	0	0	0	0	0	0	
30/08/2020	11	0	0	0	0	0	0	0	0	0	0	0	
31/08/2020	11	8.2	0	0	0	0	0	0	0	7.25	1.45	0	
01/09/2020	11	7.21667	0	0	0	0	0	0	0	7.6	0.1166670	
02/09/2020	11	8.06667	0	0	0	0	0	0	0	8.56667	0	0	
03/09/2020	11	7.71667	0	0	0	0	0	0	0	7.35	0.8666670	
04/09/2020	11	7.5	0	0	0	0	0	0	0	8	0	0	
05/09/2020	11	8	0	0	0	0	0	0	0	0	0	8	
06/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
07/09/2020	11	8.51667	0	0	0	0	0	0	0	7.85	1.16667	0	
08/09/2020	11	7.28333	0	0	0	0	0	0	0	7.68333	0.1	0	
09/09/2020	11	8.23333	0	0	0	0	0	0	0	8.73333	0	0	
10/09/2020	11	8.51667	0	0	0	0	0	0	0	7.6	1.41667	0	
11/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
12/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
13/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
14/09/2020	11	8.6	0	0	0	0	0	0	0	7.48333	1.61667	0	
15/09/2020	11	7.23333	0	0	0	0	0	0	0	7.58333	0.15	0	
16/09/2020	11	7.58333	0	0	0	0	0	0	0	8.08333	0	0	
17/09/2020	11	7.45	0	0	0	0	0	0	0	7.35	0.6	0	
18/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
19/09/2020	11	1	0	0	0	0	0	0	0	0	0	1	
20/09/2020	11	0	0	0	0	0	0	0	0	0	0	0	
21/09/2020	11	8.66667	0	0	0	0	0	0	0	8.38333	0.783333	0	
22/09/2020	11	8.6	0	0	0	0	0	0	0	7.41667	1.68333	0	
