This is how it shoud looks like after running the program:
__________________________________________________________

11 	 24/08/2020 	 1 	 9,43333
11 	 24/08/2020 	 95 	 0
11 	 24/08/2020 	 96 	 0
11 	 24/08/2020 	 97 	 0
11 	 24/08/2020 	 98 	 0
11 	 24/08/2020 	 8 	 0
11 	 24/08/2020 	 7 	 2,15
11 	 25/08/2020 	 1 	 9,91667
11 	 25/08/2020 	 95 	 0
11 	 25/08/2020 	 96 	 0
11 	 25/08/2020 	 97 	 0
11 	 25/08/2020 	 98 	 0
11 	 25/08/2020 	 8 	 0
11 	 25/08/2020 	 7 	 2,61667
11 	 26/08/2020 	 1 	 6,41667
11 	 26/08/2020 	 95 	 0
11 	 26/08/2020 	 96 	 0
11 	 26/08/2020 	 97 	 0
11 	 26/08/2020 	 98 	 0
11 	 26/08/2020 	 8 	 0
11 	 26/08/2020 	 7 	 0
11 	 27/08/2020 	 1 	 6,8
11 	 27/08/2020 	 95 	 0
11 	 27/08/2020 	 96 	 0
11 	 27/08/2020 	 97 	 0
11 	 27/08/2020 	 98 	 0
11 	 27/08/2020 	 8 	 0
11 	 27/08/2020 	 7 	 0,15
11 	 28/08/2020 	 1 	 0
11 	 28/08/2020 	 95 	 0
11 	 28/08/2020 	 96 	 0
11 	 28/08/2020 	 97 	 0
11 	 28/08/2020 	 98 	 0
11 	 28/08/2020 	 8 	 0
11 	 28/08/2020 	 7 	 0
11 	 29/08/2020 	 1 	 0
11 	 29/08/2020 	 95 	 0
11 	 29/08/2020 	 96 	 0
11 	 29/08/2020 	 97 	 0
11 	 29/08/2020 	 98 	 0
11 	 29/08/2020 	 8 	 0
11 	 29/08/2020 	 7 	 0
11 	 30/08/2020 	 1 	 0
11 	 30/08/2020 	 95 	 0
11 	 30/08/2020 	 96 	 0
11 	 30/08/2020 	 97 	 0
11 	 30/08/2020 	 98 	 0
11 	 30/08/2020 	 8 	 0
11 	 30/08/2020 	 7 	 0
11 	 31/08/2020 	 1 	 8,2
11 	 31/08/2020 	 95 	 0
11 	 31/08/2020 	 96 	 0
11 	 31/08/2020 	 97 	 0
11 	 31/08/2020 	 98 	 0
11 	 31/08/2020 	 8 	 0
11 	 31/08/2020 	 7 	 1,45
11 	 02/09/2020 	 1 	 8,06667
11 	 02/09/2020 	 95 	 0
11 	 02/09/2020 	 96 	 0
11 	 02/09/2020 	 97 	 0
11 	 02/09/2020 	 98 	 0
11 	 02/09/2020 	 8 	 0
11 	 02/09/2020 	 7 	 0
11 	 04/09/2020 	 1 	 7,5
11 	 04/09/2020 	 95 	 0
11 	 04/09/2020 	 96 	 0
11 	 04/09/2020 	 97 	 0
11 	 04/09/2020 	 98 	 0
11 	 04/09/2020 	 8 	 0
11 	 04/09/2020 	 7 	 0
11 	 05/09/2020 	 1 	 8
11 	 05/09/2020 	 95 	 0
11 	 05/09/2020 	 96 	 0
11 	 05/09/2020 	 97 	 0
11 	 05/09/2020 	 98 	 0
11 	 05/09/2020 	 8 	 0
11 	 05/09/2020 	 7 	 0
11 	 06/09/2020 	 1 	 0
11 	 06/09/2020 	 95 	 0
11 	 06/09/2020 	 96 	 0
11 	 06/09/2020 	 97 	 0
11 	 06/09/2020 	 98 	 0
11 	 06/09/2020 	 8 	 0
11 	 06/09/2020 	 7 	 0
11 	 07/09/2020 	 1 	 8,51667
11 	 07/09/2020 	 95 	 0
11 	 07/09/2020 	 96 	 0
11 	 07/09/2020 	 97 	 0
11 	 07/09/2020 	 98 	 0
11 	 07/09/2020 	 8 	 0
11 	 07/09/2020 	 7 	 1,16667
